"line_name","specimen__id","specimen__name","specimen__hemisphere","structure__id","structure__name","structure__acronym","structure_parent__id","structure_parent__acronym","structure__layer","nr__max_euclidean_distance","nr__number_stems","nr__number_bifurcations","nr__average_contraction","nr__average_parent_daughter_ratio","nrwkf__id","erwkf__id","ef__upstroke_downstroke_ratio_long_square","ef__adaptation","ef__f_i_curve_slope","ef__threshold_i_long_square","ef__tau","ef__avg_isi","ef__avg_firing_rate","ef__ri","ef__peak_t_ramp","ef__vrest","si__height","si__width","si__path","csl__x","csl__y","csl__z","csl__normalized_depth","cell_reporter_status","m__glif","m__biophys_perisomatic","m__biophys_all_active","tag__apical","tag__dendrite_type","morph_thumb_path","ephys_thumb_path","ephys_inst_thresh_thumb_path","id"
"Scnn1a-Tg3-Cre","476218657","Scnn1a-Tg3-Cre;Ai14-187852.04.02.01","right","721","Primary visual area, layer 4","VISp4","385","VISp","4","483.363609523776","8","31","0.864221647099535","0.768853340960725","484775245","491201432","4.50429448309559","0.0825362574140668","0.0831223628501808","130","19.8137472725674","103.197","9.69020417260192","156.562501820178","4.991095","-76.8808097839355","5747","5755","/external/mousecelltypes/prod382/specimen_476218657/min_xy_476218657.aff","8416.71","1015.11","8306.39","0.41611","cre reporter positive","2","1","1","intact","spiny","/api/v2/well_known_file_download/487661798","/api/v2/well_known_file_download/487633010","/api/v2/well_known_file_download/491383320","682"
"Rbp4-Cre_KL100","479704527","Rbp4-Cre_KL100;Ai14-196623.04.01.01","left","721","Primary visual area, layer 4","VISp4","385","VISp","4","595.010081799411","10","51","0.889384837958167","0.842339384903376","491119550","487097054","4.42113351757357","0.099932156455467","0.106591717659581","120.000007629395","23.6518010856009","125.923571428571","7.94132495334474","120.156327462196","4.78256166666667","-74.2130098342896","9422","11259","/external/mousecelltypes/prod435/specimen_479704527/min_xy_479704527.aff","8924.38","1168.12","2922.25","0.391552","cre reporter negative","2","1","1","intact","spiny","/api/v2/well_known_file_download/491373559","/api/v2/well_known_file_download/483108099","/api/v2/well_known_file_download/491382878","413"
"Htr3a-Cre_NO152","464188580","Htr3a-Cre_NO152;Ai14-178910.03.01.01","left","821","Primary visual area, layer 2/3","VISp2/3","385","VISp","2/3","113.780206091137","4","21","0.893029642514599","0.85995354170063","491120335","491198387","4.35324737547236","0.0013113763860859","0.210762945150427","170","10.2896169330928","86.0090909090909","11.626677941021","111.562539303305","6.04167666666667","-78.3287410029659","5762","5758","/external/mousecelltypes/prod312/specimen_464188580/min_xy_464188580.aff","8329.39","654.259","3444.78","0.205451","cre reporter positive","2","1","1","NA","aspiny","/api/v2/well_known_file_download/487661102","/api/v2/well_known_file_download/487611643","/api/v2/well_known_file_download/491381642","82"
"Htr3a-Cre_NO152","469753383","Htr3a-Cre_NO152;Ai14-178904.04.01.01","left","821","Primary visual area, layer 2/3","VISp2/3","385","VISp","2/3","115.875070491763","7","29","0.902940903204247","0.974254077335275","491120307","491198023","4.29756792721035","0.0175217291624686","0.142028157730993","249.999984741211","7.78185377614296","75.90375","13.1745796485681","104.375001034138","8.0096625","-79.16914667402","3890","3896","/external/mousecelltypes/prod286/specimen_469753383/min_xy_469753383.aff","8284.1","846.479","8587.21","0.149197","cre reporter positive","2","1","1","NA","aspiny","/api/v2/well_known_file_download/487660871","/api/v2/well_known_file_download/487610194","/api/v2/well_known_file_download/491383420","84"
"Scnn1a-Tg3-Cre","314831019","Scnn1a-Tg3-Cre;Ai14-168093.03.02.01","left","778","Primary visual area, layer 5","VISp5","385","VISp","5","534.670195295892","10","35","0.843946658868015","0.817371602506484","491119595","491200593","4.19830299882552","0.0551576635576852","0.156709451575263","90","20.2810714690873","128.938333333333","7.75564546359373","140.937610653039","3.35145333333333","-76.5250789097377","7597","5742","/external/mousecelltypes/prod149/specimen_314831019/min_xy_314831019.aff","8671.18","953.601","3425.82","0.452628","cre reporter positive","0","1","1","intact","spiny","/api/v2/well_known_file_download/487660875","/api/v2/well_known_file_download/487622116","/api/v2/well_known_file_download/491382594","648"
"Nr5a1-Cre","483020137","Nr5a1-Cre;Ai14-199361.04.02.01","right","721","Primary visual area, layer 4","VISp4","385","VISp","4","395.083421965703","6","20","0.899550076070434","0.772213636938085","496001085","491317178","3.62918672827265","0.0798116600063756","0.221006197467455","110","13.0371508947711","58.8525","16.9916316214264","143.749999999999","1.90709833333333","-81.5751450278542","5748","5729","/external/mousecelltypes/prod472/specimen_483020137/min_xy_483020137.aff","8736.19","928.715","8083.69","0.371716","cre reporter negative","2","1","1","intact","spiny","/api/v2/well_known_file_download/496001234","/api/v2/well_known_file_download/485507710","/api/v2/well_known_file_download/491381343","199"
"Htr3a-Cre_NO152","475622680","Htr3a-Cre_NO152;Ai14-185555.03.01.01","left","821","Primary visual area, layer 2/3","VISp2/3","385","VISp","2/3","262.033433395653","4","22","0.905833283622324","0.868989868030659","491119962","491216225","3.32330317088438","0.0132166141318491","0.4970946579194","50","10.5854825277623","30.818064516129","32.4485010885949","245.312616881727","2.44966","-68.3805974324544","3892","3906","/external/mousecelltypes/prod368/specimen_475622680/min_xy_475622680.aff","8248.56","875.752","2742.85","0.151533","cre reporter positive","5","1","1","NA","aspiny","/api/v2/well_known_file_download/487661508","/api/v2/well_known_file_download/487613151","/api/v2/well_known_file_download/491376318","102"
"Scnn1a-Tg2-Cre","320668879","Scnn1a-Tg2-Cre;Ai14-171062.06.02.01","left","721","Primary visual area, layer 4","VISp4","385","VISp","4","466.472468823514","12","46","0.851619078628755","0.723879922252563","491119502","491201844","3.30288892397892","","0.118850847425491","70","28.3882044254085","225.13","4.44187802602941","198.593747910857","3.26258666666667","-74.0218200683594","9442","7590","/external/mousecelltypes/prod170/specimen_320668879/min_xy_320668879.aff","8335.42","1082.18","2991.87","0.451492","cre reporter positive","0","1","1","intact","spiny","/api/v2/well_known_file_download/487659631","/api/v2/well_known_file_download/487622986","/api/v2/well_known_file_download/491383950","608"
"Scnn1a-Tg3-Cre","468193142","Scnn1a-Tg3-Cre;Ai14-177297.06.01.01","left","778","Primary visual area, layer 5","VISp5","385","VISp","5","467.651032591372","6","32","0.894984254185334","0.838523827758812","491120157","491317260","3.26675297740893","0.117267300540876","0.199412960450762","210","21.1622548480174","67.9033333333334","14.7268175347307","136.250072446466","5.50870833333333","-70.2135283371498","9460","9462","/external/mousecelltypes/prod258/specimen_468193142/min_xy_468193142.aff","7880.44","913.913","3205.43","0.393321","cre reporter positive","0","1","1","intact","spiny","/api/v2/well_known_file_download/490149881","/api/v2/well_known_file_download/487635030","/api/v2/well_known_file_download/491377221","666"
"Nr5a1-Cre","476457450","Nr5a1-Cre;Ai14-187780.03.02.01","right","721","Primary visual area, layer 4","VISp4","385","VISp","4","441.758080241847","4","27","0.878968106215037","0.810504257591458","491253860","491199139","3.23716786737701","0.0476945778402227","0.162089561803337","70","24.6772534968057","62.894","15.8997678633892","210.468637561797","3.14920833333333","-75.3042173839751","7586","7585","/external/mousecelltypes/prod376/specimen_476457450/min_xy_476457450.aff","9093.26","1025.02","8257.35","0.307803","cre reporter positive","2","1","1","intact","spiny","/api/v2/well_known_file_download/487661900","/api/v2/well_known_file_download/487617691","/api/v2/well_known_file_download/491377646","186"
