"line_name","specimen__id","specimen__name","specimen__hemisphere","structure__id","structure__name","structure__acronym","structure_parent__id","structure_parent__acronym","structure__layer","nr__max_euclidean_distance","nr__number_stems","nr__number_bifurcations","nr__average_contraction","nr__average_parent_daughter_ratio","nrwkf__id","erwkf__id","ef__upstroke_downstroke_ratio_long_square","ef__adaptation","ef__f_i_curve_slope","ef__threshold_i_long_square","ef__tau","ef__avg_isi","ef__avg_firing_rate","ef__ri","ef__peak_t_ramp","ef__vrest","si__height","si__width","si__path","csl__x","csl__y","csl__z","csl__normalized_depth","cell_reporter_status","m__glif","m__biophys_perisomatic","m__biophys_all_active","tag__apical","tag__dendrite_type","morph_thumb_path","ephys_thumb_path","ephys_inst_thresh_thumb_path","id"
"Scnn1a-Tg3-Cre","476218657","Scnn1a-Tg3-Cre;Ai14-187852.04.02.01","right","721","Primary visual area, layer 4","VISp4","385","VISp","4","483.363609523776","8","31","0.864221647099535","0.768853340960725","484775245","491201432","4.50429448309559","0.0825362574140668","0.0831223628501808","130","19.8137472725674","103.197","9.69020417260192","156.562501820178","4.991095","-76.8808097839355","5747","5755","/external/mousecelltypes/prod382/specimen_476218657/min_xy_476218657.aff","8416.71","1015.11","8306.39","0.41611","cre reporter positive","2","1","1","intact","spiny","/api/v2/well_known_file_download/487661798","/api/v2/well_known_file_download/487633010","/api/v2/well_known_file_download/491383320","682"
"Rbp4-Cre_KL100","479704527","Rbp4-Cre_KL100;Ai14-196623.04.01.01","left","721","Primary visual area, layer 4","VISp4","385","VISp","4","595.010081799411","10","51","0.889384837958167","0.842339384903376","491119550","487097054","4.42113351757357","0.099932156455467","0.106591717659581","120.000007629395","23.6518010856009","125.923571428571","7.94132495334474","120.156327462196","4.78256166666667","-74.2130098342896","9422","11259","/external/mousecelltypes/prod435/specimen_479704527/min_xy_479704527.aff","8924.38","1168.12","2922.25","0.391552","cre reporter negative","2","1","1","intact","spiny","/api/v2/well_known_file_download/491373559","/api/v2/well_known_file_download/483108099","/api/v2/well_known_file_download/491382878","413"
"Cux2-CreERT2","486239338","Cux2-CreERT2;Ai14-207760.03.01.01","left","721","Primary visual area, layer 4","VISp4","385","VISp","4","418.449088951261","11","29","0.911029846546372","0.788110011568558","496163978","515381484","4.38205383480423","0.0455405854121962","0.158392004908962","110","20.456526315959","75.4083333333333","13.2611338269422","171.250039887432","2.70157333333333","-78.4159205754598","7570","5738","/external/mousecelltypes/prod507/specimen_486239338/min_xy_486239338.aff","8880.53","1167.58","2817.15","0.353489","cre reporter positive","2","1","0","intact","spiny","/api/v2/well_known_file_download/516608131","/api/v2/well_known_file_download/486240027","/api/v2/well_known_file_download/491377321","31"
"Htr3a-Cre_NO152","464188580","Htr3a-Cre_NO152;Ai14-178910.03.01.01","left","821","Primary visual area, layer 2/3","VISp2/3","385","VISp","2/3","113.780206091137","4","21","0.893029642514599","0.85995354170063","491120335","491198387","4.35324737547236","0.0013113763860859","0.210762945150427","170","10.2896169330928","86.0090909090909","11.626677941021","111.562539303305","6.04167666666667","-78.3287410029659","5762","5758","/external/mousecelltypes/prod312/specimen_464188580/min_xy_464188580.aff","8329.39","654.259","3444.78","0.205451","cre reporter positive","2","1","1","NA","aspiny","/api/v2/well_known_file_download/487661102","/api/v2/well_known_file_download/487611643","/api/v2/well_known_file_download/491381642","82"
"Htr3a-Cre_NO152","469753383","Htr3a-Cre_NO152;Ai14-178904.04.01.01","left","821","Primary visual area, layer 2/3","VISp2/3","385","VISp","2/3","115.875070491763","7","29","0.902940903204247","0.974254077335275","491120307","491198023","4.29756792721035","0.0175217291624686","0.142028157730993","249.999984741211","7.78185377614296","75.90375","13.1745796485681","104.375001034138","8.0096625","-79.16914667402","3890","3896","/external/mousecelltypes/prod286/specimen_469753383/min_xy_469753383.aff","8284.1","846.479","8587.21","0.149197","cre reporter positive","2","1","1","NA","aspiny","/api/v2/well_known_file_download/487660871","/api/v2/well_known_file_download/487610194","/api/v2/well_known_file_download/491383420","84"
"Rorb-IRES2-Cre","473020156","Rorb-IRES2-Cre-D;Ai14-181710.05.02.01","right","721","Primary visual area, layer 4","VISp4","385","VISp","4","392.426945317837","8","24","0.871176500246526","0.732353874837868","491771277","496390161","4.21718782098223","0.0286463871499541","0.256137662857431","70","22.294614959737","64.1967857142857","15.5771038825931","195.000040322542","2.41019833333333","-76.7344247323495","7594","7590","/external/mousecelltypes/prod351/specimen_473020156/min_xy_473020156.aff","8078.08","833.139","8074.48","0.352358","cre reporter positive","5","1","0","intact","spiny","/api/v2/well_known_file_download/487661716","/api/v2/well_known_file_download/487629700","/api/v2/well_known_file_download/491381939","490"
"Rbp4-Cre_KL100","479728896","Rbp4-Cre_KL100;Ai14-196624.06.02.01","right","312782562","Anterior area, layer 5","VISa5","312782546","VISa","5","529.014288471482","5","23","0.888304918682641","0.770606804846841","491253816","496573497","4.14306939848849","0.0388427171251858","0.182600568448885","90","18.1979206790517","76.5104545454546","13.0701092542314","135.93742509782","3.82318833333333","-83.622126703677","7582","5752","/external/mousecelltypes/prod428/specimen_479728896/min_xy_479728896.aff","7681.86","863.135","8012.75","0.398074","cre reporter negative","2","1","0","intact","spiny","/api/v2/well_known_file_download/487686016","/api/v2/well_known_file_download/491376483","/api/v2/well_known_file_download/491376489","416"
"Cux2-CreERT2","486146717","Cux2-CreERT2;Ai14-205221.03.01.01","right","721","Primary visual area, layer 4","VISp4","385","VISp","4","405.03059985556","8","36","0.920951246684661","0.811497816739354","500961568","496197138","4.11490052703576","0.21236905145144","0.0485507234096004","70","21.9768924097919","175.191666666667","5.70803405793653","231.09","2.74371666666667","-78.2008991241455","7595","5755","/external/mousecelltypes/prod535/specimen_486146717/min_xy_486146717.aff","8946.03","1442.79","8981.98","0.35726","cre reporter positive","2","1","0","intact","spiny","/api/v2/well_known_file_download/501086521","/api/v2/well_known_file_download/486149277","/api/v2/well_known_file_download/491380180","25"
"Cux2-CreERT2","483101699","Cux2-CreERT2;Ai14-198018.04.01.01","left","573","Lateral visual area, layer 4","VISl4","409","VISl","4","317.280712744156","6","34","0.91188426356193","0.764057615958811","514351603","496605998","4.04531909650809","0.022854223797453","0.141865006083308","150","15.1304548767662","88.649","11.2804430958048","117.968636748194","6.24161666666667","-78.1320111410958","9443","7601","/external/mousecelltypes/prod507/specimen_483101699/min_xy_483101699.aff","8509.08","1383.77","2291.7","0.333213","cre reporter positive","2","1","0","intact","spiny","/api/v2/well_known_file_download/516477274","/api/v2/well_known_file_download/483105273","/api/v2/well_known_file_download/491377460","10"
"Cux2-CreERT2","485912047","Cux2-CreERT2;Ai14-205530.06.02.01","right","312782554","Anterior area, layer 2/3","VISa2/3","312782546","VISa","2/3","398.318373157874","8","28","0.916953197076063","0.755858964066694","496085274","491316971","4.02099086371479","0.0653829046954473","0.173861626896533","80","23.5104694430687","88.2835","11.327144936483","177.031290102005","3.18407833333333","-73.6229537963867","7588","7583","/external/mousecelltypes/prod506/specimen_485912047/min_xy_485912047.aff","7702.99","864.809","8084.46","0.374239","cre reporter positive","2","1","0","intact","spiny","/api/v2/well_known_file_download/496085610","/api/v2/well_known_file_download/485914219","/api/v2/well_known_file_download/491377149","16"
